Year,Current_Selling_Price,MRP,Kms_Driven
2016,7.4,8.5,15059
2013,4.8,9.4,60241
2015,12.5,13.46,38000
2015,4.75,7.85,40000
2015,4.4,5.7,28200
2017,9.1,9.4,15141
2015,0.48,0.84,23000
2017,1.65,1.78,4000
2014,7.2,9.9,48000
2008,4.0,22.78,89000
2005,2.75,10.21,90000
2015,5.8,7.71,25870
2015,6.1,7.71,26000
2017,11.5,12.5,9000
2013,6.15,9.4,45000
2015,4.4,5.7,28200
2014,4.1,6.8,39485
2015,4.0,5.9,60000
2017,0.78,0.84,5000
2014,3.75,6.8,33019
2010,5.25,22.83,80000
2014,8.25,14.0,63000
2012,0.6,0.81,19000
2014,5.5,8.06,45000
2016,14.25,20.91,12000
2010,5.25,22.83,80000
2014,4.75,6.76,40000
2011,2.55,4.43,57000
2016,6.4,8.4,12000
2013,2.65,4.89,64532
2015,6.5,8.61,33429
2012,0.95,1.75,11500
2015,7.25,10.79,41678
2016,11.25,13.6,22671
2016,6.4,8.4,12000
2017,7.25,9.85,6900
2015,7.5,10.0,27600
2015,4.0,7.0,40026
2016,1.2,1.5,18000
2016,10.25,13.6,49562
2016,6.4,8.4,12000
2012,0.6,0.81,19000
2010,1.95,3.95,44542
2015,1.35,2.37,21700
2012,5.35,9.4,32322
2013,7.45,18.61,56001
2016,0.51,0.94,24000
2016,7.75,10.79,43000
2013,0.65,0.787,16000
2014,4.5,6.4,19000
2015,0.4,0.55,6700
2017,17.0,18.64,8700
2012,0.6,0.81,19000
2010,9.25,20.45,59000
2013,7.45,18.61,56001
2011,2.95,7.74,49998
2013,5.11,9.4,36198
2012,4.5,9.4,36000
2013,0.65,0.787,16000
2008,0.2,0.787,50000
2012,3.75,6.79,35000
2012,1.25,2.69,50000
2016,7.75,10.79,43000
2014,8.25,14.0,63000
2011,4.1,10.0,69341
2009,3.0,10.0,69562
2011,2.55,4.43,57000
2013,0.42,0.73,12000
2015,7.5,9.94,15000
2013,0.5,0.99,45000
2013,2.9,4.41,56879
2013,1.05,1.9,5400
2016,5.85,7.87,24524
2003,0.35,2.28,127000
2015,7.5,10.0,27600
2015,0.75,0.82,18000
2014,5.5,8.06,45780
2012,5.2,9.4,71000
2014,4.6,6.87,42450
2011,4.5,12.48,45000
2015,8.4,13.6,25000
2017,1.7,1.82,1400
2011,2.85,4.15,5200
2016,1.15,1.4,35000
2015,12.5,13.46,38000
2015,0.6,0.95,16600
2017,23.0,25.39,15000
2008,4.0,22.78,89000
2014,7.5,12.04,15000
2016,2.9,4.43,12500
2014,5.5,8.06,45000
2016,6.0,8.4,4000
2016,0.6,0.84,25000
2017,0.78,0.84,5000
2015,1.1,1.47,26000
2013,6.95,18.61,40001
2013,2.9,4.41,56879
2015,7.5,10.0,27600
2016,6.0,8.4,4000
2009,0.9,1.75,40000
2015,5.15,5.7,34797
2015,0.75,0.82,18000
2015,4.0,5.8,40023
2011,2.7,4.6,22517
2017,1.45,1.6,1200
2007,0.12,0.58,53000
2012,3.75,6.79,35000
2014,3.75,6.8,33019
2017,0.9,0.95,1300
2015,0.6,0.84,29000
2017,11.5,12.5,9000
2013,0.25,0.57,18000
2011,4.4,8.01,50000
2017,23.0,25.39,15000
2012,5.9,13.74,56000
2017,6.0,6.49,16200
2015,6.1,7.71,26000
2015,4.5,7.27,40534
2017,1.35,1.47,4100
2013,0.25,0.51,32000
2016,1.15,1.5,8700
2015,1.11,1.47,17500
2013,6.15,9.4,45000
2015,4.5,7.7,40588
2015,0.18,0.32,35000
2015,7.25,10.79,41678
2012,4.95,9.4,60000
2017,0.48,0.51,4300
2016,5.3,5.9,5464
2005,2.75,10.21,90000
2015,0.4,0.54,14000
2010,0.25,0.52,22000
2016,1.05,1.17,6000
2017,0.75,0.95,3500
2017,1.45,1.6,1200
2016,11.25,13.6,22671
2015,8.4,13.6,25000
2016,0.75,0.8,7000
2017,19.75,23.15,11000
2013,6.15,9.4,45000
2009,0.9,1.75,40000
2017,18.0,19.77,15000
2017,9.25,9.4,15001
2012,0.4,0.83,5500
2013,7.05,18.61,45000
2015,5.4,6.82,31427
2010,3.25,9.9,38000
2016,3.1,4.43,11849
2014,0.42,0.81,42000
2013,1.25,1.5,15000
2013,7.45,18.61,56001
2014,4.6,6.87,42450
2015,5.4,6.1,31427
2013,4.15,5.87,55138
2015,7.5,10.0,27600
2016,1.05,1.17,6000
2016,0.75,0.8,7000
2016,1.05,1.17,6000
2015,6.7,10.0,18828
2014,3.95,6.76,71000
2015,1.11,1.47,17500
2015,0.4,0.55,6700
2014,0.5,0.88,8000
2015,23.5,35.96,47000
2011,2.65,5.71,43000
2018,9.25,9.83,2071
2008,0.25,0.75,26000
2010,9.65,20.45,50024
2009,3.6,15.04,70000
2017,0.48,0.52,15000
2017,1.45,1.6,1200
2017,0.75,0.95,3500
2015,4.0,5.8,40023
2015,4.0,5.8,40023
2015,0.6,0.84,29000
2011,2.7,4.6,22517
2012,2.0,4.43,23709
2008,4.0,22.78,89000
2013,0.25,0.51,32000
2016,0.51,0.94,24000
2010,2.65,7.98,41442
2011,4.4,8.01,50000
2015,5.15,5.7,34797
2013,0.6,1.2,32000
2016,5.65,7.9,28569
2017,33.0,36.23,6000
2016,6.6,7.7,16002
2010,9.25,20.45,59000
2016,0.5,0.55,31000
2013,3.45,6.05,47000
2003,0.35,2.28,127000
2015,4.0,5.8,40023
2015,0.6,0.84,29000
2010,2.65,7.98,41442
2015,23.0,30.61,40000
2016,5.85,7.87,24524
2016,5.65,7.9,28569
2015,0.48,0.84,23000
2016,6.6,7.7,16002
2016,1.2,1.5,18000
2015,0.6,0.95,16600
2017,5.75,7.13,12479
2016,5.25,5.7,3493
2015,5.25,5.9,14465
2015,0.55,0.84,58000
2015,8.25,9.4,61381
2016,0.45,0.54,500
2015,8.4,13.6,34000
2010,2.65,7.98,41442
2013,0.3,0.58,30000
2013,2.9,4.41,56879
2010,0.52,0.94,45000
2013,5.5,14.68,72000
2010,0.25,0.52,22000
2010,9.25,20.45,59000
2016,1.05,1.17,6000
2016,1.05,1.17,6000
2011,2.65,5.71,43000
2015,5.4,6.82,31427
2017,1.35,1.47,4100
2013,5.0,9.9,56701
2010,0.45,0.95,27000
2017,0.78,0.84,5000
2016,0.6,0.8,20000
2010,1.95,3.95,44542
2016,8.99,11.8,9010
2012,0.2,0.57,25000
2017,11.5,12.5,9000
2011,4.4,8.01,50000
2012,0.2,0.57,25000
2015,4.0,5.8,40023
2014,4.95,7.49,39000
2016,1.05,1.17,6000
2016,1.75,1.9,3000
2005,0.2,0.57,55000
2015,8.25,9.4,61381
2015,1.11,1.47,17500
2007,0.2,0.75,49000
2015,23.5,35.96,47000
2013,6.95,18.61,40001
2012,4.95,9.4,60000
2016,9.5,11.6,33988
2012,4.5,9.4,36000
2016,9.15,13.6,29223
2010,0.45,0.95,27000
2017,0.75,0.95,3500
2015,2.75,4.43,28282
2011,0.45,0.95,24000
2011,3.0,4.99,20000
2011,0.38,0.787,75000
2014,0.45,0.826,23000
2014,6.0,7.6,77632
2013,3.45,6.05,47000
2014,4.75,6.95,45000
2016,0.45,0.54,500
2016,1.05,1.17,6000
2015,4.5,7.27,40534
2014,2.55,3.98,46706
2015,0.6,0.95,16600
2017,2.85,3.6,2135
2010,9.25,20.45,59000
2017,0.75,0.87,11000
2017,2.85,3.6,2135
2015,8.55,13.09,60076
2015,8.55,13.09,60076
2016,3.0,3.76,10079
2015,7.5,9.94,15000
2017,2.85,3.6,2135
2010,3.25,9.9,38000
2016,8.75,8.89,20273
2011,2.85,4.15,5200
2016,3.1,4.43,11849
2012,3.0,5.35,53675
2006,2.1,7.6,50456
2012,0.6,0.81,19000
2015,0.18,0.32,35000
2014,0.42,0.81,42000
2015,1.11,1.47,17500
2015,5.25,5.9,14465
2012,5.2,9.4,71000
2016,10.25,13.6,49562
2015,2.75,4.43,28282
2017,5.75,7.13,12479
2014,0.35,0.52,19000
2017,0.48,0.54,8600
2016,1.15,1.5,8700
2017,9.25,9.4,15001
2015,5.25,5.7,24678
2013,4.75,9.54,43000
2015,0.48,0.84,23000
2012,0.95,1.75,11500
2012,3.0,5.35,53675
2017,0.48,0.52,15000
2016,1.75,1.9,3000
2012,2.0,4.43,23709
2010,3.25,9.9,38000
2011,0.35,1.05,30000
2012,3.75,6.79,35000
2014,4.4,7.13,34000
2011,4.1,10.0,69341
2014,2.55,3.98,46706
2014,0.5,0.88,8000
2014,2.5,3.46,45280
2012,1.25,2.69,50000
2013,0.5,0.99,45000
2016,14.25,20.91,12000
2017,0.78,0.84,5000
2015,5.5,5.7,4492
2017,7.25,9.85,6900
2016,6.4,8.4,12000
2016,1.15,1.4,35000
2017,0.8,0.87,3000
2017,6.0,6.49,16200
2017,0.45,0.51,4000
2014,6.0,7.6,77632
2017,18.0,19.77,15000
2013,0.25,0.51,32000
2015,6.5,8.61,33429
2016,8.99,11.8,9010
2015,11.45,14.79,12900
2015,0.65,0.74,5000
2014,6.0,7.6,77632
2012,3.1,6.79,52132
2010,0.25,0.52,22000
2015,6.75,8.12,18796
2017,5.75,7.13,12479
2013,4.8,9.4,60241
2011,0.15,0.57,35000
2012,2.0,4.43,23709
2011,2.7,4.6,22517
2014,0.4,0.64,13700
2016,0.6,0.87,15000
2015,3.25,5.09,35500
2011,1.05,1.5,6900
2013,4.8,9.4,60241
2015,8.65,13.6,24800
2013,0.65,0.787,16000
2015,0.4,0.55,6700
2016,0.45,0.55,1000
2015,0.6,0.84,29000
2016,7.4,8.5,15059
2015,3.95,6.8,36000
2017,23.0,25.39,15000
2014,6.0,7.6,77632
2012,4.5,9.4,36000
2014,4.75,6.95,45000
2014,3.95,6.76,71000
2014,5.50,9.26,78000
2003,0.35,2.28,127000
2015,6.1,7.71,26000
2015,5.75,7.5,44000
2009,3.8,18.61,62000
2013,4.8,9.4,60241
2010,5.25,22.83,80000
2017,0.45,0.51,4000
2013,1.25,1.5,15000
2017,0.9,0.95,1300
2017,1.35,1.47,4100
2013,5.0,9.9,56701
2011,0.45,0.95,24000
2015,7.25,10.79,41678
2013,1.05,1.9,5400
2012,5.35,9.4,32322
2015,0.18,0.32,35000
2013,4.75,9.54,43000
2014,0.35,0.52,19000
2015,11.45,14.79,12900
2015,4.4,5.7,28200
2015,4.0,5.9,60000
2016,6.25,7.6,7000
2006,2.5,23.73,142000
2016,7.4,8.5,15059
2013,3.45,6.05,47000
2017,1.2,1.47,11000
2015,0.55,0.84,58000
2016,1.05,1.17,6000
2015,5.25,5.9,14465
2016,3.1,4.43,11849
2016,3.15,4.43,15000
2015,8.4,13.6,25000
2016,0.72,0.95,500
2013,4.15,5.87,55138
2008,0.2,0.75,60000
2015,6.7,10.0,18828
2017,23.0,25.39,15000
2012,14.9,30.61,104707
2016,1.2,1.5,18000
2017,19.75,23.15,11000
2016,14.73,14.89,23000
2017,0.75,0.87,11000
2010,3.25,6.79,58000
2015,4.5,7.27,40534
2017,6.5,8.7,21200
2017,5.75,7.13,12479
2013,0.42,0.73,12000
2017,1.35,1.47,4100
2013,5.0,9.9,56701
2015,4.0,5.8,40023
2013,4.75,9.54,43000
2015,8.4,13.6,25000
2009,3.0,10.0,69562
2017,4.9,5.71,2400
2016,8.75,8.89,20273
2010,2.65,7.98,41442
2009,3.0,10.0,69562
2008,0.2,0.75,60000
2017,7.25,9.85,6900
2012,3.75,6.79,35000
2016,2.85,3.95,25000
2017,0.48,0.54,8600
2017,1.7,1.82,1400
2017,1.45,1.6,1200
2013,2.65,4.89,64532
2015,2.75,4.43,28282
2017,9.1,9.4,15141
2015,11.75,14.79,43535
2016,20.75,25.39,29000
2015,1.11,1.47,17500
2015,23.5,35.96,47000
2013,2.9,4.41,56879
2017,18.0,19.77,15000
2017,1.35,1.47,4100
2015,4.85,5.7,21125
2015,8.55,13.09,60076
2012,3.0,5.35,53675
2014,4.6,6.87,42450
2014,2.55,3.98,46706
2015,1.11,1.47,17500
2010,1.95,3.95,44542
2015,9.7,13.6,21780
2011,3.0,4.99,20000
2015,23.5,35.96,47000
2013,4.8,9.4,60241
2015,1.15,1.47,17000
2015,0.4,0.55,6700
2003,2.25,7.98,62000
2015,1.1,1.47,26000
2011,0.45,0.95,24000
2005,0.2,0.57,55000
2015,0.18,0.32,35000
2012,4.5,9.4,36100
2016,0.6,0.8,20000
2016,12.9,13.6,35934
2015,0.6,0.95,16600
2011,4.5,12.48,45000
2015,1.11,1.47,17500
2011,2.65,5.71,43000
2010,2.65,7.98,41442
2015,8.55,13.09,60076
2016,9.5,11.6,33988
2012,5.9,13.74,56000
2017,1.7,1.82,1400
2015,6.75,8.12,18796
2011,2.95,7.74,49998
2012,1.25,2.69,50000
2014,7.5,12.04,15000
2003,0.35,2.28,127000
2017,0.75,0.95,3500
2014,4.9,8.93,83000
2016,14.25,20.91,12000
2014,4.4,7.13,34000
2017,0.48,0.54,8600
2014,3.65,7.0,35000
2014,0.42,0.81,42000
2010,2.50,9.26,78000
2015,4.75,7.85,40000
2014,3.95,6.76,71000
2016,9.5,11.6,33988
2015,4.75,7.85,40000
2017,0.9,0.95,1300
2012,3.1,4.6,35775
2012,3.1,4.6,35775
2016,0.6,0.87,15000
2014,3.35,5.59,27000
2014,6.45,9.4,45078
2017,0.48,0.51,4300
2010,9.65,20.45,50024
2011,4.4,8.01,50000
2012,5.2,9.4,71000
2017,1.45,1.6,1200
2011,0.35,1.05,30000
2015,23.5,35.96,47000
2017,9.1,9.4,15141
2012,3.75,6.79,35000
2013,1.25,1.5,15000
2014,4.75,6.95,45000
2009,3.8,18.61,62000
2017,19.75,23.15,11000
2016,0.6,0.87,15000
2015,3.25,5.09,35500
2017,4.9,5.71,2400
2017,1.7,1.82,1400
2015,1.1,1.47,26000
2014,7.2,9.9,48000
2009,3.6,15.04,70000
2016,0.51,0.94,24000
2015,4.5,7.27,40534
2013,3.5,5.9,9800
2017,1.7,1.82,1400
2011,2.95,4.6,53460
2015,7.45,8.92,42367
2014,0.6,0.99,25000
2014,0.42,0.81,42000
2016,8.75,8.89,20273
2012,3.1,5.98,51439
2007,0.12,0.58,53000
2016,5.05,5.7,4293
2016,4.25,7.2,8950
